x,Curve1,
3.429,404.04,
5.14638,808.081,1.71738
6.29322,1212.12,1.14684
8.57826,1414.14,2.28504
9.72222,1616.16,1.14396
11.4425,2222.22,1.72028
13.157,2424.24,1.7145
16.0126,2626.26,2.8556
16.586,2828.28,0.5734
17.1623,3232.32,0.5763
18.8825,3838.38,1.7202
21.1676,4040.4,2.2851
23.4642,5050.51,2.2966
25.1902,6060.61,1.726
27.4752,6262.63,2.285
28.0544,6868.69,0.5792
30.9157,7474.75,2.8613
31.492,7878.79,0.5763
34.3563,8686.87,2.8643
36.6413,8888.89,2.285
37.7968,9898.99,1.1555
39.5199,10707.1,1.7231
41.8136,11515.2,2.2937
41.8165,11717.2,0.0029
43.5339,12121.2,1.7174
44.1073,12323.2,0.5734
45.257,12929.3,1.1497
46.4039,13333.3,1.1469
47.5594,14343.4,1.1555
50.4265,15353.5,2.8671
51.5733,15757.6,1.1468
54.4462,17171.7,2.8729
55.5988,17979.8,1.1526
57.3133,18181.8,1.7145
58.4601,18585.9,1.1468
59.6156,19596,1.1555
60.7596,19798,1.144
62.4798,20404,1.7202
64.203,21212.1,1.7232
65.9232,21818.2,1.7202
67.0701,22222.2,1.1469
68.7903,22828.3,1.7202
69.9343,23030.3,1.144
71.084,23636.4,1.1497
73.3691,23838.4,2.2851
73.9511,24646.5,0.582
76.8154,25454.5,2.8643
78.527,25454.5,1.7116
80.8149,25858.6,2.2879
82.5294,26060.6,1.7145
84.241,26060.6,1.7116
85.9526,26060.6,1.7116
87.0995,26464.6,1.1469
90.5285,26868.7,3.429
91.1077,27474.7,0.5792
92.8193,27474.7,1.7116
95.672,27474.7,2.8527
96.254,28282.8,0.582
98.5362,28282.8,2.2822
101.959,28282.8,3.4228
105.394,29090.9,3.435
108.25,29292.9,2.856
110.532,29292.9,2.282
112.246,29494.9,1.714
114.534,29899,2.288
115.675,29899,1.141
116.822,30303,1.147
119.104,30303,2.282
122.528,30303,3.424
123.672,30505.1,1.144
126.524,30505.1,2.852
128.242,30909.1,1.718
129.956,31111.1,1.714
132.238,31111.1,2.282
134.523,31313.1,2.285
137.376,31313.1,2.853
138.517,31313.1,1.141
140.802,31515.2,2.285
143.084,31515.2,2.282
143.652,31313.1,0.568
145.934,31313.1,2.282
147.072,31111.1,1.138
148.784,31111.1,1.712
152.778,31111.1,3.994
153.916,30909.1,1.138
154.481,30505.1,0.565
157.331,30303,2.85
159.039,30101,1.708
160.739,29292.9,1.7
162.451,29292.9,1.712
163.592,29292.9,1.141
165.304,29292.9,1.712
166.439,28888.9,1.135
168.148,28686.9,1.709
169.859,28686.9,1.711
172.139,28484.8,2.28
173.277,28282.8,1.138
177.827,27272.7,4.55
180.109,27272.7,2.282
183.526,26868.7,3.417
186.373,26464.6,2.847
188.082,26262.6,1.709
190.361,26060.6,2.279
191.497,25656.6,1.136
193.776,25454.5,2.279
196.052,25050.5,2.276
197.188,24646.5,1.136
198.891,24040.4,1.703
198.893,24242.4,0.002
200.596,23636.4,1.703
201.161,23232.3,0.565
202.867,22828.3,1.706
204.002,22424.2,1.135
205.708,22020.2,1.706
207.417,21818.2,1.709
209.123,21414.1,1.706
210.258,21010.1,1.135
213.673,20404,3.415
215.373,19596,1.7
215.941,19393.9,0.568
217.07,18585.9,1.129
217.076,18989.9,0.006
218.205,18181.8,1.129
221.044,17171.7,2.839
222.179,16767.7,1.135
222.747,16565.7,0.568
223.876,15757.6,1.129
224.444,15555.6,0.568
225.009,15151.5,0.565
225.573,14747.5,0.564
227.279,14343.4,1.706
228.417,14141.4,1.138
228.982,13737.4,0.565
230.118,13333.3,1.136
232.394,12929.3,2.276
233.524,12121.2,1.13
234.662,11919.2,1.138
236.368,11515.2,1.706
237.506,11313.1,1.138
238.641,10909.1,1.135
239.206,10505.1,0.565
240.906,9696.97,1.7
241.468,9090.91,0.562
241.471,9292.93,0.003
242.606,8888.89,1.135
243.168,8282.83,0.562
246.009,7474.75,2.841
247.144,7070.71,1.135
248.277,6464.65,1.133
251.109,5050.51,2.832
251.121,5858.59,0.012
252.815,4646.46,1.694
253.953,4444.44,1.138
255.095,4444.44,1.142
256.23,4040.4,1.135
259.077,3636.36,2.847
260.206,2828.28,1.129
262.483,2424.24,2.277
264.189,2020.2,1.706
265.894,1616.16,1.705
267.036,1616.16,1.142
268.171,1212.12,1.135
269.309,1010.1,1.138
271.588,808.081,2.279
272.156,606.061,0.568
273.294,404.04,1.138
